"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_79",4.623,526.87,182926.783500539,221797.018637949
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_80",4.655,720.08,249706.730433559,306808.539552851
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_81",4.333,815.45,282669.845898608,348770.905629422
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_82",4.45,685.16,237637.190829496,291443.898435164
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_83",4.38,547.03,189894.765127627,230667.326912078
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_84",4.352,526.87,182926.783500539,221797.018637949
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_85",4.392,699.06,242441.50355849,297559.835191632
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_86",4.413,572.28,198622.023861951,241777.212027244
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_87",4.505,528.52,183497.079615852,222523.011130623
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_88",4.447,526.87,182926.783500539,221797.018637949
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_89",4.324,526.87,182926.783500539,221797.018637949
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_90",4.343,542.48,188322.130385403,228665.347614097
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_79",0.543,7220.71,473697.694205892,90926.4840537135
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_80",0.555,5120.11,336854.337027286,64440.7068917675
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_81",0.57,4579.56,301640.26641751,57625.0890469185
"2-3-dihydroxypropane1sulfonate","mtab_TSQ_cm_PMI_2020_1112_82",0.562,5237.18,344480.84936895,65916.8041650938
