"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_51",2.697,1004.61,271980.688833488,439283.401224705
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_52",2.603,300.95,89011.178263416,132099.229942428
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_53",2.82,261.14,78659.5649618292,114720.095333743
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_54",2.814,261.14,78659.5649618292,114720.095333743
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_55",2.681,736.87,202361.473928518,322400.972183525
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_56",2.71,261.14,78659.5649618292,114720.095333743
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_57",2.662,876.39,238640.225192959,383308.705431547
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_58",2.781,4075.81,1070570.86144925,1780021.86417859
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_59",2.67,816.82,223150.508931328,357303.303556657
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_60",2.57,261.14,78659.5649618292,114720.095333743
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_61",2.662,870.93,237220.486217157,380925.131581675
"2-deoxyinosine_na pos","mtab_TSQ_cm_PMI_2020_1112_62",2.795,376.95,108773.112725124,165277.180966294
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_51",0.828,19191.82,8295596.1009842,4393173.99973336
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_52",0.851,755.83,342568.348405258,183296.764177619
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_53",0.818,4090.26,1780994.72686564,944717.276477426
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_54",0.852,2984.45,1303963.78797495,692204.428192637
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_55",0.829,33377.86,14415254.9757826,7632570.79148054
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_56",0.851,7758.07,3363236.56585484,1782265.45389256
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_57",0.818,27096.24,11705452.12868,6198156.41826752
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_58",0.839,58851.57,25404256.5206494,13449518.6111609
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_59",0.829,11151.75,4827222.56407745,2557215.76449486
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_60",0.841,1013.06,453533.765982284,242035.498647642
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_61",0.818,1479.02,654542.380740249,348437.942816876
"2deoxycytidine pos","mtab_TSQ_cm_PMI_2020_1112_62",0.84,20204.78,8732572.85093103,4624484.45523526
"2deoxyguanosine pos","mtab_TSQ_cm_PMI_2020_1112_51",2.59,91052.3,141601545.319203,87324046.7522445
"2deoxyguanosine pos","mtab_TSQ_cm_PMI_2020_1112_52",2.729,14134.94,21981041.2801981,13564319.7212114
"2deoxyguanosine pos","mtab_TSQ_cm_PMI_2020_1112_53",2.602,60415.92,93956394.5036978,57945359.9899973
