OrthologID,Log2 Fold Change,Post-p (Low N /Replete > 2),Post-p (Replete /Low N > 2)
OG_0,-0.02953266,0,0
OG_1,0.072307012,0,0
OG_10,-0.212615304,0,0
OG_100,-0.037871932,0,0
OG_10001,0.210091787,0,0
OG_10002,-0.096009317,0,0
OG_10006,0.049450769,0,0
OG_10008,-0.022216202,0,0
OG_10009,-0.15513679,0,0
OG_1001,-0.488497348,0,3.77E-07
OG_10010,-0.013647585,0,0
OG_10013,0.23669034,0,0
OG_10017,-0.0544126,0,0
OG_10018,0.056084373,0,0
OG_10019,0.010116658,0,0
OG_1002,-0.088017658,0,0
OG_10022,0.0901202,0,0
OG_10023,0.241416951,0,0
OG_10024,0.005310413,0,0
OG_10025,-0.046365198,0,0
OG_10027,0.042587749,0,0
OG_10028,0.195973738,0,0
OG_10029,0.096599395,0,0
OG_1003,-0.075375571,0,0
OG_10030,0.062330428,0,0
OG_10031,0.038693336,0,0
OG_10034,-0.180244645,0,0
OG_10035,0.011409039,0,0
OG_10036,0.091114307,0,0
OG_10039,0.125514531,0,0
OG_10041,0.113345176,0,0
OG_10043,0.04616062,0,0
OG_10044,-0.016851586,0,0
OG_10045,0.179331742,0,0
OG_10046,0.067776928,0,0
OG_10047,-0.001129579,0,0
OG_1005,0.048469281,0,0
OG_10050,0.281598083,0,0
OG_10055,-0.147215976,0,0
OG_10056,0.009866794,0,0
OG_10057,-0.142547757,0,0
OG_10058,0.331658298,0,0
OG_1006,0.055632739,0,0
OG_10060,-0.069655338,0,0
OG_10061,0.072043676,0,0
OG_10062,-0.036574143,0,0
OG_10063,0.2260997,0,0
OG_10065,0.02850517,0,0
OG_10067,0.162263338,0,0
OG_10068,0.281900791,0,0
OG_10069,-0.007822935,0,0
OG_1007,-0.236706087,0,0
OG_10071,0.069912537,0,0
OG_10074,0.259074854,0,0
OG_10076,0.01344693,0,0
OG_10078,0.017688969,0,0
OG_10079,-0.1148794,0,0
OG_1008,0.237620245,0,0
OG_10080,0.192185409,0,0
OG_10081,-0.342304376,0,0
OG_10082,-0.122016177,0,0
OG_10083,-0.049826804,0,0
OG_10084,-0.178384771,0,0
OG_10085,-0.053873168,0,0
OG_1009,-0.047827674,0,0
OG_10090,0.112515727,0,0
OG_10091,-0.259072163,0,0
OG_10093,-0.081408438,0,0
OG_10094,0.092568454,0,0
OG_10095,0.347733451,0,0
OG_10097,0.153481296,0,0
OG_10099,0.00408858,0,0
OG_101,-0.071296205,0,0
OG_1010,-0.053390905,0,0
OG_10102,0.040451947,0,0
OG_10103,-0.147848612,0,0
OG_10104,0.245551029,0,0
OG_10108,0.007185608,0,0
OG_1011,-0.234348055,0,0
OG_10111,0.238479927,0,0
OG_10113,-0.090084424,0,0
OG_10115,-0.060708407,0,0
OG_10116,-0.023469,0,0
OG_10119,-0.117511706,0,0
OG_1012,0.004022381,0,0
OG_10123,-0.052334571,0,0
OG_10124,-0.029562807,0,0
OG_1013,0.037994217,0,0
OG_10132,-0.015596718,0,0
OG_1014,0.31027551,0,0
OG_1015,-0.080774962,0,0
OG_10150,-0.07572253,0,0
OG_10151,-0.103160127,0,0
OG_1016,-0.22279144,0,0
OG_10165,0.066598766,0,0
OG_10166,0.128261841,0,0
OG_10168,-0.047526749,0,0
OG_1017,-0.005995046,0,0
OG_10178,0.025470825,0,0
OG_1018,-0.176382801,0,0
OG_10180,-0.073688414,0,0
OG_10185,-0.030303187,0,0
OG_10186,-0.08713974,0,0
OG_1019,0.006360732,0,0
OG_10190,0.182665536,0,0
OG_102,-0.055833307,0,0
OG_10204,0.082598135,0,0
OG_10209,-0.086625599,0,0
OG_1021,0.186372066,0,0
OG_10211,-0.142403976,0,0
OG_10216,0.233042343,0,0
OG_10218,0.002462646,0,0
OG_10219,0.309955444,0,0
OG_1022,0.12611303,0,0
OG_10222,0.105806163,0,0
OG_10227,-0.215284583,0,0
OG_1023,-0.34744193,0,0
OG_10233,-0.05213339,0,0
OG_10236,0.270546017,0,0
OG_10237,-0.004432824,0,0
OG_10238,-0.145656114,0,0
OG_10239,0.114018385,0,0
OG_1024,-0.073666757,0,0
OG_10240,0.323212625,0,0
OG_10247,-0.096916846,0,0
OG_1025,-0.005968505,0,0
OG_10251,-0.20208721,0,0
OG_10254,0.124519305,0,0
OG_10256,0.232517159,0,0
OG_10259,0.01301085,0,0
OG_1026,-0.007988854,0,0
OG_10264,-0.230881488,0,0
OG_10267,-0.223812244,0,0
OG_1027,0.29906979,0,0
OG_10270,-0.061587798,0,0
OG_10272,-0.124225165,0,0
OG_10275,0.042722133,0,0
OG_10276,0.027260261,0,0
OG_10286,-0.18225396,0,0
OG_1029,0.058452852,0,0
OG_103,-0.005155349,0,0
OG_1030,-0.218191863,0,0
OG_1031,0.116289376,0,0
OG_1032,-0.000844608,0,0
OG_10320,-0.003919916,0,0
OG_1033,-0.065992726,0,0
OG_1034,0.068002749,0,0
OG_1035,0.001655573,0,0
OG_10359,-0.009097526,0,0
OG_1036,0.159445411,0,0
OG_10362,-0.08222325,0,0
OG_10363,-0.052026672,0,0
OG_10369,0.12106236,0,0
OG_1037,-0.056472794,0,0
OG_10371,-0.112145453,0,0
OG_10375,-0.03982919,0,0
OG_1038,0.054084436,0,0
OG_1039,-0.086616013,0,0
OG_104,-0.025883873,0,0
OG_1040,-0.08310988,0,0
OG_1041,0.172324542,0,0
OG_1042,-0.166371073,0,0
OG_10423,0.076212209,0,0
OG_10436,0.076543588,0,0
OG_1045,0.035953609,0,0
OG_10451,0.07710612,0,0
OG_10456,-0.058247861,0,0
OG_1046,0.381080303,0,0
OG_1047,-0.097256425,0,0
