OrthologID,Log2 Fold Change,Post-p (Low P/ Replete > 2),Post-p (Replete /Low P > 2)
OG_0,-0.038435244,0,0
OG_1,-0.003530756,0,0
OG_10,-0.174103781,0,0
OG_100,0.032393148,0,0
OG_10001,0.213622844,0,0
OG_10002,-0.188914976,0,0
OG_10006,0.186553117,0,0
OG_10008,-0.406539708,0,0.001342448
OG_10009,0.197913499,0,0
OG_1001,-0.432091355,0,0
OG_10010,0.20723226,0,0
OG_10013,0.326817852,0,0
OG_10017,0.008984317,0,0
OG_10018,0.021721523,0,0
OG_10019,-0.139751616,0,4.52E-07
OG_1002,-0.210939805,0,0
OG_10022,-0.16643422,0,6.58E-07
OG_10023,0.179825315,0,0
OG_10024,0.191021248,0,0
OG_10025,-0.120431748,0,0
OG_10027,0.188345294,0,0
OG_10028,0.583292017,0.131867605,0
OG_10029,0.276733464,2.58E-05,0
OG_1003,-0.069326773,0,0
OG_10030,-0.065465832,0,0
OG_10031,0.019645968,0,0
OG_10034,-0.269417867,0,0
OG_10035,0.015753344,0,0
OG_10036,0.230731595,0,0
OG_10039,0.140039034,0,0
OG_10041,0.234794589,0,0
OG_10043,0.243749202,2.57E-05,0
OG_10044,0.079985971,0,0
OG_10045,0.361989357,0,0
OG_10046,0.24225329,2.62E-07,0
OG_10047,-0.057498145,0,0
OG_1005,-0.027612433,0,0
OG_10050,0.305338326,0,0
OG_10055,-0.226189056,0,0
OG_10056,-0.011509084,0,0
OG_10057,-0.324582451,0,0
OG_10058,0.220021938,0,0
OG_1006,0.209944446,0,0
OG_10060,-0.002162507,0,0
OG_10061,0.203481863,0,0
OG_10062,-0.06980598,0,0
OG_10063,0.237246469,0,0
OG_10065,-0.355947863,0,0
OG_10067,0.156479218,0,0
OG_10068,0.052814346,0,0
OG_10069,0.007405062,0,0
OG_1007,-0.167554866,0,0
OG_10071,-0.008423463,0,0
OG_10074,0.052645532,0,0
OG_10076,-0.152891385,0,0
OG_10078,-0.096617449,0,0
OG_10079,-0.106206708,0,0
OG_1008,-0.238873619,0,0
OG_10080,-0.029327522,0,0
OG_10081,0.079067332,0,0
OG_10082,0.070089868,0,0
OG_10083,-0.108437583,0,0
OG_10084,0.07480022,0,0
OG_10085,-0.25268207,0,0
OG_1009,0.260375112,0,0
OG_10090,0.166931542,0,0
OG_10091,-0.325719043,0,0
OG_10093,-0.611894118,0,0.007028703
OG_10094,0.176778249,0,0
OG_10095,0.406461248,0,0
OG_10097,0.289408023,6.88E-07,0
OG_10099,-0.002227847,0,0
OG_101,-0.025763864,0,0
OG_1010,-0.171782177,0,0
OG_10102,-0.257202712,0,0
OG_10103,-0.062911644,0,0
OG_10104,-0.041976828,0,0
OG_10108,0.106867854,0,0
OG_1011,-0.689643532,0,0.440626586
OG_10111,0.133317932,0,0
OG_10113,0.190196423,0,0
OG_10115,0.195690074,0,0
OG_10116,0.046211957,0,0
OG_10119,-0.068479572,0,0
OG_1012,0.005923163,0,0
OG_10123,-0.064650748,0,0
OG_10124,0.012783768,0,0
OG_1013,-0.032551595,0,0
OG_10132,0.029882601,0,0
OG_1014,-0.565905975,0,0.049662247
OG_1015,0.05077696,0,0
OG_10150,0.095772556,0,0
OG_10151,0.095359389,0,0
OG_1016,-0.139110229,0,0
OG_10165,0.282010387,0,0
OG_10166,0.436362599,0,0
OG_10168,-0.09970813,0,0
OG_1017,-0.132178934,0,0
OG_10178,0.179579059,0,0
OG_1018,-0.004313504,0,0
OG_10180,-0.491628046,0,1.77E-06
OG_10185,0.038824328,0,0
OG_10186,-0.23626786,0,0
OG_1019,-0.263660819,0,0
OG_10190,0.175391481,0,0
OG_102,-0.033018341,0,0
OG_10204,0.092554474,0,0
OG_10209,-0.037526617,0,0
OG_1021,-0.032558003,0,0
OG_10211,0.365487702,0,0
OG_10216,0.135332502,0,0
OG_10218,-0.156779059,0,0
OG_10219,-0.350528011,0,0
OG_1022,-0.238909042,0,0
OG_10222,0.409193463,0,0
OG_10227,-0.014170325,0,0
OG_1023,-0.359796118,0,0
OG_10233,0.041117252,0,0
OG_10236,0.209196339,0,0
