"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_80",4.655,720.08,249706.730433559,306808.539552851,0.0491443315770055,0.0603824357167417,"N3","neg",391788.448720099,318870.56564369
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_81",4.333,815.45,282669.845898608,348770.905629422,0.0218008511740036,0.0268988812134451,"R1","neg",174532.060819135,141453.744964986
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_82",4.45,685.16,237637.190829496,291443.898435164,0.0206625079256074,0.0253409907778587,"R2","neg",164423.765753041,134067.661079726
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_83",4.38,547.03,189894.765127627,230667.326912078,0.0257982298846733,0.0313374027059744,"P3","neg",203331.188074062,167390.539090795
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_84",4.352,526.87,182926.783500539,221797.018637949,0.0162134740076252,0.0196586859935935,"R3","neg",127554.412104811,105200.324472004
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_86",4.413,572.28,198622.023861951,241777.212027244,0.0285613317070681,0.0347669357992233,"P1","neg",225583.543986655,185318.788652142
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_87",4.505,528.52,183497.079615852,222523.011130623,0.0274956262832941,0.033343362010391,"P2","neg",216346.755842143,178404.011700585
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_88",4.447,526.87,182926.783500539,221797.018637949,0.0316373603037992,0.0383600042523931,"N2","neg",248896.990996581,205277.448117046
"2-3-dihydroxybenzoic acid","mtab_TSQ_cm_PMI_2020_1112_89",4.324,526.87,182926.783500539,221797.018637949,0.0385756444152203,0.0467726090165922,"N1","neg",303481.761073139,250296.161531406
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_80",0.72,1214.56,57003.891285048,19503.4790598778,0.0112188331072532,0.00383844456318669,"N3","neg",26270.923025027,76783.4720912545
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_81",0.8,1624.69,75768.0102668222,26310.9606458155,0.00584359152397833,0.00202922719068604,"R1","neg",13888.3525473003,39994.4666619556
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.818,1278.32,59921.0156755532,20561.7899025847,0.0052101207600746,0.0017878436676676,"R2","neg",12236.2854538882,35658.8923418972
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.645,1728.48,80516.5726960966,28033.7034683461,0.010938611449051,0.00380853008827855,"P3","neg",26066.183616991,74865.5906443844
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.836,521.57,25298.4641931998,8000.98798573307,0.00224229598192259,0.000709157009485287,"R3","neg",4853.58298189917,15346.6291282088
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.874,1280.34,60013.4339827807,20595.3185710645,0.00862977610203875,0.00296155337602316,"P1","neg",20269.3407434341,59063.5555542998
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.826,2260.04,104836.312988082,36856.7227837365,0.0157089153073896,0.00552269648002094,"P2","neg",37798.2101158096,107514.306395111
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.7,768.31,36587.223166118,12096.4650454806,0.00632779486782248,0.00209209507608849,"N2","neg",14318.6303202278,43308.4310986413
"alpha-ketoglutaric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.746,1409.41,65918.5978015152,22737.6677001137,0.0139009298719435,0.00479492487237902,"N1","neg",32817.2258735132,95140.1674898604
"citric acid","mtab_TSQ_cm_PMI_2020_1112_80",0.859,4525.08,463159.735271543,218341.195831347,0.0911536327586458,0.0429713372411909,"N3","neg",223669.254846923,474461.965223016
"citric acid","mtab_TSQ_cm_PMI_2020_1112_81",0.887,11912.86,1223759.43457454,568716.875919036,0.0943821836430049,0.0438621669483007,"R1","neg",228306.094879766,491266.831371044
"citric acid","mtab_TSQ_cm_PMI_2020_1112_82",0.954,10570.11,1085518.27874165,505035.100820462,0.094385605046073,0.0439127046443671,"R2","neg",228569.147638804,491284.640048267
"citric acid","mtab_TSQ_cm_PMI_2020_1112_83",0.933,4764.04,487761.564798876,229674.20419296,0.0662650440581243,0.0312024816185275,"P3","neg",162411.417960272,344914.866011474
"citric acid","mtab_TSQ_cm_PMI_2020_1112_84",0.98,4111.41,420570.855038148,198722.324183589,0.0372767426182051,0.0176134909072842,"R3","neg",91679.6320387477,194028.433365631
"citric acid","mtab_TSQ_cm_PMI_2020_1112_86",0.98,9029.2,926875.80662513,431955.313766175,0.133282336216029,0.0621140534127333,"P1","neg",323308.626966132,693745.243681184
"citric acid","mtab_TSQ_cm_PMI_2020_1112_87",0.953,6032.92,618397.526678031,289852.59241644,0.0926621138802235,0.0434321819999031,"P2","neg",226067.988756522,482313.730378011
"citric acid","mtab_TSQ_cm_PMI_2020_1112_88",0.877,7985.18,819390.026314087,382441.221911091,0.141714280411878,0.0661435712206177,"N2","neg",344282.590155204,737634.189110337
"citric acid","mtab_TSQ_cm_PMI_2020_1112_89",0.973,8655.85,888438.02183257,414248.673860718,0.187354025251715,0.0873568606878202,"N1","neg",454699.462251823,975192.719403055
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_80",0.539,11254.64,557620.23923564,179446.828724862,0.109744234300232,0.0353166069492196,"N3","neg",255806.221564679,794902.464872027
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_81",0.52,5738.54,285193.090801044,93174.2095770835,0.021995455895348,0.0071860409085659,"R1","neg",52050.1297158185,159318.092824482
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_82",0.564,3954.86,197101.349150273,65277.1907917987,0.017137924307006,0.0056758391537488,"R2","neg",41111.3947106244,124133.886042344
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_83",0.571,7292.64,361946.418583754,117480.56323593,0.0491723766386195,0.0159603692882447,"P3","neg",115604.587050882,356166.714751699
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_84",0.562,4388.51,218518.298248125,72059.5408749071,0.0193680809394761,0.0063869022929235,"R3","neg",46261.7868529878,140287.418075301
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_86",0.545,3787.04,188813.11578788,62652.4611920126,0.027150836175201,0.00900926136777764,"P1","neg",65256.1304344317,196659.685464298
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_87",0.597,4355.27,216876.653170268,71539.6623628293,0.0324972986906661,0.0107196682632734,"P2","neg",77644.9968366898,235385.33022357
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_88",0.538,12005.96,594726.159208425,191197.584552006,0.102858452004193,0.0330678031720276,"N2","neg",239517.624018743,745027.176620259
"fosfomycin","mtab_TSQ_cm_PMI_2020_1112_89",0.538,8911.57,441901.546919937,142800.867675101,0.0931883052569449,0.0301138815661917,"N1","neg",218121.697567664,674984.102976567
"inosine","mtab_TSQ_cm_PMI_2020_1112_80",2.111,89,21756.4651343284,17390.5908157796,0.00428185069200401,0.00342261083586652,"N3","neg",12759.9852211405,15963.3549267569
"inosine","mtab_TSQ_cm_PMI_2020_1112_81",2.29,287.79,70374.3059851741,55399.5202767945,0.00542760323931717,0.00427267610673551,"R1","neg",15929.150753963,20234.8851333451
"inosine","mtab_TSQ_cm_PMI_2020_1112_82",2.183,424.73,103865.563725075,81582.6421661822,0.00903109074036683,0.00709359500702153,"R2","neg",26445.9419416975,33669.2045646156
"inosine","mtab_TSQ_cm_PMI_2020_1112_83",2.071,2847.82,696477.888224676,544880.880949273,0.0946202843345148,0.0740250117850539,"P3","neg",275975.885564828,352758.022348413
"inosine","mtab_TSQ_cm_PMI_2020_1112_84",2.252,142.88,34933.8345444776,27692.5231029142,0.00309631431513089,0.00245449023342903,"R3","neg",9150.69244092395,11543.5048843563
"inosine","mtab_TSQ_cm_PMI_2020_1112_86",2.325,8634.22,2111651.05739482,1651248.75374578,0.303649943380665,0.237445286628411,"P1","neg",885230.163025802,1132050.64079583
"inosine","mtab_TSQ_cm_PMI_2020_1112_87",2.236,3924.61,959827.175662586,750764.653545109,0.143822721178001,0.112496309934732,"P2","neg",419402.415593826,536191.780106629
"inosine","mtab_TSQ_cm_PMI_2020_1112_88",2.165,7.35,1787.41887711443,1778.99520990468,0.000309135786170508,0.000307678904955553,"N2","neg",1147.07118873934,1152.50265134589
"inosine","mtab_TSQ_cm_PMI_2020_1112_89",2.321,46.22,11293.8099122388,9210.99424481413,0.00238164137000928,0.00194241669753923,"N1","neg",7241.60868485714,8879.10140554479
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_80",0.566,200.16,16710.0230876112,8794.64072226537,0.00328866952785433,0.00173085739020817,"N3","neg",13722.8049647837,26073.6504230106
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_82",0.52,377.73,29655.4866768828,18540.9698484304,0.00257853884890639,0.00161213375357781,"R2","neg",12781.5250422406,20443.5015373534
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_84",0.554,359.09,28296.5665816864,17517.8714933495,0.0025080288298835,0.00155267341769831,"R3","neg",12310.1040014137,19884.4749852018
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_86",0.519,1216.2,90782.8328259877,64562.2830343042,0.0130543358245734,0.0092838887936718,"P1","neg",73605.7146885895,103499.055138138
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_81",0,0,2117.67082073834,0,0.000163324907372704,0,"R1","neg",0,1294.89342244275
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_83",0,0,2117.67082073834,0,0.000287697023226283,0,"P3","neg",0,2280.95634049221
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_87",0,0,2117.67082073834,0,0.000317316687545952,0,"P2","neg",0,2515.79075196981
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_88",0,0,2117.67082073834,0,0.000366253172326422,0,"N2","neg",0,2903.77525034823
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_89",0,0,2117.67082073834,0,0.000446574935643852,0,"N1","neg",0,3540.59252869145
"nadp","mtab_TSQ_cm_PMI_2020_1112_80",0.774,450.82,37121.1069246371,35537.5220754876,0.00730573815148022,0.00699407567137085,"N3","neg",9395.46173663821,9814.13220064242
"nadp","mtab_TSQ_cm_PMI_2020_1112_81",0.791,5321.66,373599.333159395,401827.916891351,0.0288137683558806,0.0309908918153599,"R1","neg",41631.4824026543,38706.8528846746
"nadp","mtab_TSQ_cm_PMI_2020_1112_82",0.782,2002.47,144309.27975256,152222.630006775,0.0125476640513117,0.0132357283302029,"R2","neg",17780.1592270428,16855.8510112864
"nadp","mtab_TSQ_cm_PMI_2020_1112_83",0.932,1029.29,77081.8856671169,79038.8492981294,0.0104719906578145,0.0107378547409811,"P3","neg",14424.6513896658,14067.5040069511
"nadp","mtab_TSQ_cm_PMI_2020_1112_84",0.798,3680.79,260247.831758851,278433.405853931,0.0230667230627303,0.0246785774192218,"R3","neg",33151.8617686783,30986.5840903941
"nadp","mtab_TSQ_cm_PMI_2020_1112_86",0.818,518.37,41787.4692321976,40617.3268257589,0.00600892965811901,0.0058406662160043,"P1","neg",7846.03406188028,8072.0700395199
"nadp","mtab_TSQ_cm_PMI_2020_1112_87",0.798,2794.78,199042.151993911,211804.866893341,0.02982493583715,0.0317373305192321,"P2","neg",42634.2076533525,40065.2004099219
"nadp","mtab_TSQ_cm_PMI_2020_1112_88",0.764,1862.7,134653.950963105,141711.833412469,0.0232885282375137,0.0245091956857649,"N2","neg",32924.3235391315,31284.5451263601
"nadp","mtab_TSQ_cm_PMI_2020_1112_89",0.81,2467.33,176421.865722843,187180.409965489,0.0372038857785639,0.0394726501945112,"N1","neg",53025.4163626378,49977.681356462
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.782,2326.13,613012.570446091,202830.055022554,0.120645899173675,0.039918617573918,"N3","neg",255724.648135285,772875.715398302
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.479,1856.48,489987.258146787,161907.338086907,0.0377901620813413,0.0124870686874674,"R1","neg",79994.0338723088,242089.443186043
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,1331.96,352588.691539248,116203.551251847,0.0306575187493968,0.0101038763770262,"R2","neg",64726.9466817822,196396.660790498
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.459,2326.87,613206.414225718,202894.534550995,0.0833074046581483,0.0275643188013761,"P3","neg",176581.158240718,533679.722345601
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,2888.13,760229.062540649,251799.642838659,0.0673818995199671,0.0223179289886868,"R3","neg",142971.998646296,431658.549134959
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.468,3894.53,1023856.6028324,339491.801518602,0.147227923094232,0.0488180402478539,"P1","neg",312735.683842754,943164.145382652
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.582,2298.37,605740.80919957,200411.201361033,0.0907656020965508,0.0300300773567893,"P2","neg",192377.177173538,581458.053148948
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.566,2751.9,724543.470515664,239929.310190638,0.125310478836477,0.0414960012344002,"N2","neg",265829.604320309,802757.711956932
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.575,1865.15,492258.373781057,162662.794183643,0.103807565103427,0.034302369439497,"N1","neg",219746.120688642,665006.823212216
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_80",1.233,2190.68,153464.411537367,118806.798295761,0.0302030542499499,0.0233821518503396,"N3","neg",198002.810147681,255763.013379201
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_81",1.271,5623.39,392356.21834578,307237.163856322,0.0302603890986638,0.0236956002967404,"R1","neg",200657.12843374,256248.531617104
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_82",1.258,5724.23,399373.953545829,312772.533305861,0.034725488260559,0.0271955114676541,"R2","neg",230294.787599747,294059.516136498
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_83",1.225,3221.44,225197.857935647,175387.891252988,0.030594345792814,0.0238273926850571,"P3","neg",201773.16186855,259076.516155593
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_84",1.276,4380.37,305851.010012133,239004.568327108,0.0271087005748561,0.021183854447776,"R3","neg",179387.369360454,229559.662756
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_86",1.276,4595.17,320799.537590182,250795.49809467,0.0461301411919731,0.0360637419378015,"P1","neg",305392.00557034,390635.45763378
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_87",1.276,3420.64,239060.738259425,186322.496512292,0.0358214132451059,0.0279189932776989,"P2","neg",236421.316603429,303339.937717892
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_88",1.245,1967.64,137942.439512189,106563.553531529,0.0238572754438625,0.0184302674207369,"N2","neg",156069.67076583,202026.212582458
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_89",1.271,1659.01,116464.022070785,89622.0514171774,0.0245599611855403,0.0188995199121371,"N1","neg",160043.356017758,207976.638034891
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_80",3.556,129.2,1902.25183669903,0,0.000374378755604182,0,"N3","neg",0,2876.73855543401
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_81",3.604,186.8,2785.99497300971,0,0.000214869264123393,0,"R1","neg",0,1651.06242602884
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_82",3.438,277.82,4182.49324153398,0,0.000363666980956706,0,"R2","neg",0,2794.42893004999
