"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.931,62.58,7405.30336923596,15905.9424264389
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.943,22.17,2982.60716668915,5720.74833349981
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_85",6.945,59.28,7044.1329295328,15074.189382472
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.955,13.1,1989.93568544443,3434.68769447588
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_89",7.023,21.01,2855.65028485411,5428.37453622663
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_90",6.998,97.91,11272.0159858155,24810.7409244229
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_79",0,0,556.198485410694,132.880156304599
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_80",0,0,556.198485410694,132.880156304599
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_81",0,0,556.198485410694,132.880156304599
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_83",0,0,556.198485410694,132.880156304599
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_86",0,0,556.198485410694,132.880156304599
"d2 quant","mtab_TSQ_cm_PMI_2020_1112_88",0,0,556.198485410694,132.880156304599
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_79",6.749,106.68,31634.4462664193,63660.9475014168
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_80",6.794,15.77,6376.20107697757,9366.4249767462
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_81",6.797,16.91,6692.93630430089,10047.2714807405
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.72,21.9,8079.34751863721,13027.4680201543
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.767,47.28,15130.8738953618,28185.2612406596
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_85",6.788,55.46,17403.588070366,33070.6335237067
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_86",6.741,113.04,33401.495429381,67459.3543131747
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.794,29.66,10235.3697677855,17662.0021175192
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_88",6.736,11.34,5145.37909711587,6720.67935157526
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_89",6.766,11.01,5053.69258394333,6523.59220568216
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_83",0,0,1994.69709900489,0
"e2 quant","mtab_TSQ_cm_PMI_2020_1112_90",0,0,1994.69709900489,0
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_79",6.813,156.61,21159.4569618457,49879.0360229897
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_80",6.758,105.16,14461.4261581267,33234.3394817478
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_81",6.785,77.15,10814.9374737308,24172.7661072058
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_82",6.599,77.15,10814.9374737308,24172.7661072058
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_83",6.791,77.15,10814.9374737308,24172.7661072058
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_84",6.65,116.91,15991.1027751082,37035.6064275125
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_85",6.781,159.44,21527.8812023613,50794.5752107781
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_86",6.799,77.15,10814.9374737308,24172.7661072058
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_87",6.584,114.22,15640.9044687525,36165.3589309927
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_88",6.654,77.15,10814.9374737308,24172.7661072058
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_89",6.724,169.96,22897.4299692247,54197.9222975393
"f2 quant","mtab_TSQ_cm_PMI_2020_1112_90",6.637,103.74,14276.563111649,32774.9523274511
